dataset,market,category,position_change_metric,horizon,increase_n,increase_mean_return,increase_median_return,increase_hit_rate,increase_stdev,decrease_n,decrease_mean_return,decrease_median_return,decrease_hit_rate,decrease_stdev,mean_diff_up_minus_down,welch_t,normal_p_approx
tff_disaggregated,nq,dealer,short_oi_pct_change,1w_post_release,278,0.00373265380020193,0.004259716306470374,0.579136690647482,0.027248986204088547,280,0.00466305466028768,0.005788819040804083,0.5857142857142857,0.02943460994187865,-0.0009304008600857501,-0.3874934402395601,0.6983909402984751
tff_disaggregated,nq,dealer,short_oi_pct_change,2w_post_release,278,0.009364137395485805,0.012516585198958041,0.6510791366906474,0.0359393677934467,279,0.007153067441616776,0.011426715289494904,0.6236559139784946,0.040491901160699895,0.0022110699538690293,0.6816093715314514,0.49548598751781137
tff_disaggregated,nq,dealer,short_oi_pct_change,4w_post_release,276,0.01508662589544994,0.02332058797190628,0.644927536231884,0.05605422222397347,278,0.018042130343069347,0.022226351903877895,0.6834532374100719,0.05597343281221853,-0.002955504447619408,-0.6209507851073767,0.5346320050804707
tff_disaggregated,nq,dealer,short_oi_pct_change,13w_post_release,271,0.05027647122374617,0.05292963279205143,0.7749077490774908,0.08529311671208685,274,0.055808293652356705,0.061841714653742,0.7627737226277372,0.09808298619863047,-0.005531822428610535,-0.702796166952526,0.4821827863063127
tff_disaggregated,nq,lev_money,net_oi_pct_change,1d_post_release,297,0.0012880424812424878,0.0018057586974518092,0.5959595959595959,0.012775457243538145,261,0.0008693753851903635,0.0017269704171605227,0.5862068965517241,0.016060940254322753,0.0004186670960521243,0.33760564900326123,0.7356603846038272
tff_disaggregated,nq,lev_money,net_oi_pct_change,2d_post_release,297,0.002141842403320829,0.0024220803388608214,0.5824915824915825,0.017957932995023514,261,0.0027114711455532,0.003301725549873513,0.6206896551724138,0.016073437183254685,-0.000569628742232371,-0.39537694390025724,0.6925647219750637
tff_disaggregated,nq,lev_money,net_oi_pct_change,3d_post_release,297,0.003935298788304189,0.0030262089734314213,0.5656565656565656,0.021585298178176386,261,0.003516962696398859,0.005171674258052761,0.6283524904214559,0.02072580072705189,0.00041833609190532976,0.2333256586249184,0.8155085356828184
tff_disaggregated,nq,lev_money,net_oi_pct_change,1w_post_release,297,0.003628112433683332,0.004250284871205601,0.5723905723905723,0.02910482150924438,261,0.00484974585644727,0.005931325215613237,0.5938697318007663,0.027496410372103777,-0.0012216334227639378,-0.509504639692338,0.610398547007219
tff_disaggregated,nq,lev_money,net_oi_pct_change,2w_post_release,296,0.009229166630445148,0.013468702253727649,0.6587837837837838,0.03555588184353337,261,0.007153650151511,0.011242687127424933,0.6130268199233716,0.04117173605206689,0.002075516478934148,0.6325649167176558,0.5270178035051146
tff_disaggregated,nq,lev_money,net_oi_pct_change,4w_post_release,294,0.01570375409403898,0.025040610010803377,0.6496598639455783,0.05874193809320685,260,0.017548912611038473,0.021634773552809072,0.6807692307692308,0.05278456864902687,-0.0018451585169994948,-0.3894006493829541,0.6969797917342182
tff_disaggregated,nq,lev_money,net_oi_pct_change,13w_post_release,291,0.05014307344710693,0.05324302691873828,0.7594501718213058,0.09042824026007573,254,0.056396699957767034,0.06226308175100159,0.7795275590551181,0.09363159704035305,-0.006253626510660103,-0.7902961405998982,0.42935484021006554
tff_disaggregated,nq,lev_money,long_oi_pct_change,1d_post_release,264,0.0005511621106641263,0.0018895772758150686,0.5871212121212122,0.0160044079572116,294,0.001578057126695151,0.0016924611719074667,0.5952380952380952,0.012784829931669382,-0.0010268950160310247,-0.8312309960224723,0.4058431477013322
tff_disaggregated,nq,lev_money,long_oi_pct_change,2d_post_release,264,0.0013611063824383784,0.0015727204023006092,0.5606060606060606,0.018613184477708985,294,0.0033486023054827875,0.003739401493107808,0.6360544217687075,0.01556750842809692,-0.001987495923044409,-1.3596972946612822,0.17392573459051744
