market,market_label,horizon,bucket_type,bucket,observations,avg_return_pct,median_return_pct,hit_rate_pct,avg_drawdown_pct,worst_drawdown_pct,volatility_pct,sharpe_like,unconditional_avg_return_pct,diff_vs_unconditional_pct,welch_t_stat_vs_rest,approx_p_value_vs_rest
nq,NASDAQ-100,3d,score_intensity,Mild Positive,62,0.32984,0.404183,56.451613,-1.050075,-5.541818,2.139307,0.154181,0.404651,-0.074811,-0.292195,0.770137
nq,NASDAQ-100,3d,score_intensity,Zero,253,0.52894,0.477905,62.84585,-0.912145,-6.82634,2.247455,0.235351,0.404651,0.124289,1.26964,0.204213
nq,NASDAQ-100,3d,score_intensity,Mild Negative,89,0.296419,0.277615,53.932584,-1.168553,-12.193224,2.731191,0.108531,0.404651,-0.108233,-0.431509,0.666098
nq,NASDAQ-100,3d,score_intensity,Risk-On,32,0.089085,0.083064,53.125,-1.232577,-5.233377,2.312518,0.038523,0.404651,-0.315566,-0.800354,0.423506
nq,NASDAQ-100,3d,score_intensity,Extreme Positive,20,0.050857,0.021482,50.0,-1.0003,-4.952075,1.785557,0.028482,0.404651,-0.353795,-0.892276,0.372245
nq,NASDAQ-100,1w,regime,Mixed,404,0.357038,0.413883,55.940594,-1.516023,-14.849232,3.055837,0.116838,0.399318,-0.04228,-0.856498,0.391722
nq,NASDAQ-100,1w,regime,Risk-On,52,0.7278,0.856713,61.538462,-1.461707,-8.315441,2.922694,0.249017,0.399318,0.328482,0.856498,0.391722
nq,NASDAQ-100,1w,score_sign,Positive,114,0.434801,0.720879,60.526316,-1.482854,-8.315441,2.961192,0.146833,0.399318,0.035483,0.146367,0.883632
nq,NASDAQ-100,1w,score_sign,Zero,253,0.435526,0.36633,53.754941,-1.441671,-14.849232,2.98243,0.14603,0.399318,0.036207,0.282262,0.777742
nq,NASDAQ-100,1w,score_sign,Negative,89,0.250941,0.391793,59.550562,-1.738134,-12.519543,3.320817,0.075566,0.399318,-0.148377,-0.479264,0.631751
nq,NASDAQ-100,1w,score_intensity,Mild Positive,62,0.18906,0.636354,59.677419,-1.500591,-7.41031,2.994533,0.063135,0.399318,-0.210258,-0.59328,0.552994
nq,NASDAQ-100,1w,score_intensity,Zero,253,0.435526,0.36633,53.754941,-1.441671,-14.849232,2.98243,0.14603,0.399318,0.036207,0.282262,0.777742
nq,NASDAQ-100,1w,score_intensity,Mild Negative,89,0.250941,0.391793,59.550562,-1.738134,-12.519543,3.320817,0.075566,0.399318,-0.148377,-0.479264,0.631751
nq,NASDAQ-100,1w,score_intensity,Risk-On,32,1.156301,1.15669,65.625,-1.491491,-8.315441,3.221124,0.358974,0.399318,0.756983,1.38447,0.166215
